hi,-1
"try my command line",-1
:(,-1
"what happening is the shell is interpretting your command",-1
great.,-1
"calm down please",-1
"sudo echo y > /sys/module/usbcore/parameters/old_scheme_first",-1
"ok, i want  the fucking root account",-1
"why do i get permission denied????",-1
"so if you do this it will work:",-1
"well, it's not working. i also turned on composite, but according to the logfile that's never loaded.",-1
"hmm. no idea which version of the nvidia driver i have. but it also comes through synaptic.",-1
hmm,-1
"why doesn't glx work with x.org (i just changed to that). x log file says about some unresolved symbols...",-1
okay...,-1
"prolly same as you",-1
"do i have to exchange any other packages?",-1
"composite and glx cannot be enabled together",-1
"is it working or are you just complaining abou the errors in the log file?",-1
^^,-1
"what would be the reason it didnt create it right in the first place any ideas? there is a .bashrc and home dir etc, would tab completion be something stored in .bashrc too?",-1
"copy the one from /root then uncomment the bottom 3 lines, then run: source ~/.bashrc",-1
"its told to start in ~/.bashrc   you may find one is there, just needs the lines uncommenting",-1
"i did as you said, but it seems no commands work, i cannot run 'source ~/.bashrc'",-1
"is this related to my issue, the /bin/sh ?    >     main:x:1000:1000::/home/main:/bin/sh",-1
"i cannot even use tab completion on my new user, any idea why that would be? it doesnt feel like it was created right",-1
"is the file there, you can run:    ls -a    to check",-1
"hi can someone tell me where shell prompt name is stored? as in i created a new user with 'useradd' and there is no name before the prompt",-1
"should be in ps1",-1
"mine's: andy:x:1000:1000:andy,,,:/home/andy:/bin/bash",-1
"@maco: ip is there, thanks :)",-1
"hello, i have a minimal linux system: how can look at the ip settings? ifdown and ifconfig are not available",-1
"static or dhcp",-1
static,-1
"i think you have to look in /proc",-1
"/etc/interfaces are not there, its a fli4l",-1
ifconfig,-1
"sorry look at /etc/network/interfaces",-1
"look at /etc/interface",-1
"this file isnt there too.",-1
"look in the files /etc/fstab and remove that line",-1
"filenametypesize used priority",-1
"i changed it to 2048.swap",-1
"ok, that means you have a swap line in your /etc/fstab that points at /mnt/2048mb.swap, remove it",-1
"/dev/sda5                               partition 6001656 0 -1",-1
"or ignore my advice.....and do what you want",-1
"not really, do a ""sudo swapon -s"" what does it show",-1
"uh oh?",-1
"ok ikonia theres a 2048.swap in /mnt, but no 2048mb.swap",-1
"ok i just did sudo swapoff -a then sudo swapon -a and im getting 'swapon: /mnt/2048mb.swap: stat failed: no such file or directory'",-1
"help help",-1
"i've firefox problem. help me",-1
"always crush firefox",-1
"uses firebug and web developer or some addon like that",-1
"still now",-1
"i've disable all addon",-1
"then have crush problem",-1
"hi guys",-1
"i'm using firefox 3.5.9 on ubuntu os.",-1
"what do are you doing normally when it crashes?",-1
"i already use rhythmbox for the mp3s but i need one that supports file transfer",-1
"i don't know of one that will interface with itunes",-1
"gtkpod might be able to do that",-1
"thanks anyways..it's just that i've been 'googling' like crazy and couldn't find one",-1
"from what to what?",-1
"i can transfer mp3 files from ubunt to iphone..but not other files..like pdf and lit files",-1
"""support file transfer"" is too vague, transferring from what device to what device?",-1
"hello there..anyone knows an itunes equivalent app in ubuntu?",-1
"ok then, i'll give that one a try..thanks",-1
"there probably won't be one until apple releases itunes for linux (heh. heh. heh.)",-1
"so, there is nothing to do with that? ;)",-1
"perhaps a picture then ?",-1
"hi there",-1
"known bug",-1
"unfortunatly no, not until they fix it",-1
"thank you man",-1
"english please.",-1
"who is synergy user ? i've some questions",-1
"привет блядь",-1
"what is the issue",-1
"you'll still have to enter your password, are you trying to do this w/o a password? if so, thats not a good idea",-1
"that's a long way to do it... are you just trying to make a menu entry, so you can call it up when you need it?",-1
"yeah.. so if i want to edit a .conf or something i don't have to go to terminal ... sudo nano blah blah",-1
"if you just want a terminal to open w/ root privileges... right click your menu, click edit menu, then go down to systm tools, and put a check next to ""root terminal""... when you open the terminal, your password will be required, then you'll have your root terminal",-1
"i agree w/ glebihan",-1
"i thought you were just wanting to call up nautilus w/ root",-1
"i think i'm unclear what exactly you're trying to do.",-1
"ok, then just create a menu entry for it.",-1
"well, sudo nano etc.. you'd have to create a shortcut for each one of them,",-1
"but all that is going to do, is keep you from typing sudo...",-1
"i had my sound working in alpha3...lol... just took a little googling",-1
"did yuou get your sound working?",-1
"yeah, adding something to alsa-conf?.. thats what i did, worked on mine",-1
"oh nvm i thought you were the one experiencing the bug before. didn't mean to get you confused with someone else",-1
"its a bug",-1
"not to mention, resorting to an old gutsy gibbon trick",-1
"well there is a fix someone made",-1
"different issue different card",-1
"i know... had the same prob on my laptop",-1
"nope, was trying to get some info to give some suggestions",-1
"tried that. no other network manager is running",-1
"well.. if the network manager is erroring out, maybe something got borked in the upgrade.. reinstall it... but it sounds like he tried that",-1
"i was helping preetam yesterday. he has an internal intel card, which works fine from the command line. its the network manager that isn't working",-1
"then check currently running apps, and see if there's two running, and kill one..",-1
"usually when you choose to reinstall, i believe it purges the old one",-1
"actually, maybe a purge and a reinstall...",-1
"it fails with an error that it can't get the networkmanager dbus name",-1
"it's like it's trying to run two network managers at once...",-1
"well, i just reinstalled wicd and still have my settings, which are stored system-wide",-1
"how would that help?",-1
"i just see what is in that file.. not edit .. just look in",-1
"what are you trying to do? do you know what you are really going to do with a bin editor? you know machine code?",-1
"so use what they told you, hexedit",-1
"is possible to edit an ""executable"" file ?",-1
"what do you think?",-1
"just read the manual",-1
"with any text editor, but if you really want to see something, try with a bin editor",-1
"well, you _can_ edit it, but very few chances of getting it working",-1
"and how can i open that fille ?",-1
ok,-1
"where can i change the login screen layout from?",-1
"glad to hear it",-1
"did you accomplish what you were wanting?",-1
yes:),-1
"guys i am currently operating ubuntu on a gateway m-275 tablet pc with one gig of ram and an integrated 64 mb gpu,   other than some sound issues  i have to admit this little tablet pc really hums away in  linux",-1
http://ubuntuforums.org/showthread.php?t=11478,-1
"you are most welcome my friend",-1
"this should provide you with the information  you are seeking",-1
"thanks andra, hmm i got to learn a lot...:d",-1
"thank you very much",-1
"were is orca ?",-1
"type into your bash: which orca",-1
"which orca",-1
"i started it, thanks:)",-1
"i checked ubuntu software center and orca is installed but were can i find it?",-1
http://live.gnome.org/orca,-1
"i can't seem to find that program.",-1
"bash: which orca",-1
"orca reader",-1
"orca software.",-1
"is this possible to do without uninstalling it?",-1
"it forces my system down",-1
"i believe it is the reason my system is crashing so often",-1
hi,-1
"i still can't even be sure",-1
"i gues you could disable all automatic updates from software sources, but do remember to check them annually yourself.",-1
"i only need to do this until update manager itself is fixed.... at least, if this is the problem",-1
"i want to make sure update-manager does not run, by any user, but i do not want to uninstall it",-1
"wil lthat make sure the binary does not start?",-1
"not sure, haven't tested it ever",-1
"comparing the two dirs/folders would not hurt either , /etc/x11/xorg.conf.d/",-1
"my bad then, i was looking at my setup on opensuse, the equiv must exist",-1
"almoxarife: the gpu is just lousy intel integrated. and what driver that could be?",-1
"well, ubuntu doesnt use xorg.conf anymore...",-1
"can anyone explain to me why system settings -> details has my gpu details when used from live-usb, but after install they are ""unkown""?",-1
"correct, not looking for xorg.conf, looking for a dir with some rules that are auto created at boot via udev(i think, not sure about that one)",-1
"there aint any  /etc/x11/xorg.conf.d/",-1
"because some driver/app in the stick is not in the final install?",-1
"the proof that the gpu is/was good enough was it being seen while running off the live/stick, as to what driver you are missing i am clueless, can you do a side by side comparision? or at least get the logs for xorg while on stick and compare to the installed?",-1
"i'm not so sure it's xorg problem. probably has more to do with the system settings that fetches the information",-1
nope,-1
"im bout to just find a different distro...no help in here whatsoever...and 10.04 is so broken, it shouldn't have been released yet",-1
"ah, ok",-1
"checking it out, but dont wanna wait for 4.2gb to download...",-1
"have you tried opensuse",-1
"just 600 mb or so for the cd iso",-1
"how about xubuntu 9.10, does that come in 64bit?",-1
"i looked at mint, but want xfce 64-bit, and they don't offer it",-1
"yeah, lucid feels like alpha-quality. reinstall jaunty or karmic, or try e.g. mint 8",-1
"i'm gonna install mint on my laptop, since my current installation seems broken",-1
"hi guys. i just want to know your side of what's the coolest all-in-one messenger client for ubuntu?",-1
"correct. that's what i mean. thanks",-1
"i'm waiting for the *nix port for digsby, it's what i use on my m$ box",-1
"zaxonspox  for specific account",-1
"i just did...",-1
"zaxonspox  you can't set to invisible mode for pidgin",-1
pidgin,-1
"zaxonspox  for specific account??",-1
"yah. if meeboo can be desktop app, it is the best messenger client for me",-1
"i'm looking, and it seems that you're right on that matter. i don't understand why they wouldn't have that functionality, but it seems they don't",-1
"shows lots of icon themes. :)",-1
"apt-cache search theme | grep icon",-1
"could write a little script that lists them, and uses head or tail to cut off the first line. :)",-1
"depending on how they are sorted.",-1
"not sure what app you use in 11.10 to set the icon theme these days..",-1
"how can two files have some timestamps?",-1
"i'm assuming that no files are having identical timestamp.",-1
"use a differnt icon theme perhaps?",-1
"i want one command with help of pipe or awk??because i have to give that output to zip to compress those files",-1
"what if 2 files have identical timestamps apctr ?",-1
"you have to connect a wire that goes from the ""headphone"" jack in your laptop to the speakers in your monitor",-1
"to watch movies on big screen",-1
"i hook up another monitor in mi laptop",-1
"does your monitor have speakers?",-1
"sorry i meant to say you ***might***",-1
"does the cable transfer audio too",-1
"to get full screen is always flaky, since the laptop is opened you might need to hit a combination of keys on your laptop so that the screen goes to the monitor, on my laptop is ""fn +f8"", look at your keyboard and you should see a key labeled ""fn"" and should be maybe colored blue, you should see another key labeled something like ""crt/lcd""",-1
"hi guys",-1
"and what is the problem?  all in ***one line***",-1
"you must have to reboot your laptop with the monitor hooked up to the laptop",-1
"remove gnash and reinstall flash. whats the exact problem with flash: blue video?",-1
"so its an issue with the flash plugin for firefox, or whatever browser you are using",-1
"it just says shockwave flash plugin error",-1
"what is the error/issue exactly",-1
"basically every flash video does it, i've installed basically all versions of adobe flash player, and for some times it plays cool, but after a while it starts again to show the error , i'll try to download the flv , 1min",-1
"oh, strange it happens with every browser,  thanks d:",-1
"no, i solved the blue video issue, now it just appears a error-screen, gnash is removed and flash i have the recent version",-1
"can't even display the vid.",-1
"what website/websites; what happens when you download the flv and play in mplayer",-1
"flv with mplyayer works just fine...",-1
sorry,-1
"i don't know how to see it very cli",-1
"oh, i'm sure it does i just don't know the options you need to give to it.",-1
"sure did!  :)",-1
"sudo fdisk -l",-1
"i do not see ext3 or ext4? o_o",-1
"lists all the partitions on the hdd's connected to the computer and their fs type.",-1
"that command just says ""linux"" i believe.  is that right?",-1
"how can you tell what format a hd has by using the command line only?",-1
"doesnt tell me if its ext3 or ext4",-1
"haha lose the attitude bro",-1
"just clarifying what you meant",-1
"huh? im just trying to fix a graphics problem mate, i understand ports/servers. peace out.",-1
"correct! welcome to the real world",-1
"you mean isp will block port 80 on a client machine so it cant act as a webserver on that port?",-1
"and port 22",-1
